cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
717,4,2,10,0.807309065,1499,11,0.888450288,1
573,4,2,10,0.723750297,1375,11,0.888450288,1
622,4,2,10,1.169397062,1482,11,0.943194554,1
516,6,2,10,0.425326124,995,11,0.943194554,1
763,6,2,10,0.679981418,1396,11,0.943194554,1
592,4,2,10,0.990342558,1615,11,0.888450288,1
580,4,2,10,0.329830388,1368,11,0.888450288,1
635,6,2,10,0.429305113,1241,11,0.943194554,1
626,6,2,10,0.369620278,1443,11,0.943194554,1
793,6,2,10,0.795372099,1485,11,0.943194554,1
607,6,2,10,0.449200057,1190,11,0.888450288,1
528,4,2,10,0.266166565,1355,11,0.943194554,1
758,6,2,10,0.660086473,1336,11,0.888450288,1
780,6,2,10,0.353704322,1405,11,0.943194554,1
855,4,2,10,1.046048404,1575,11,0.888450288,1
752,4,2,10,0.731708275,1273,11,0.888450288,1
700,6,2,10,0.954531658,1414,11,0.888450288,1
582,4,2,10,0.803330076,1288,11,0.943194554,1
693,4,2,10,0.863014911,1245,11,0.943194554,1
657,4,2,10,0.63223355,1477,11,0.943194554,1
645,4,2,10,0.51684287,1301,11,0.888450288,1
677,4,2,10,0.735687264,1477,11,0.943194554,1
722,6,2,10,0.67202344,1331,11,0.943194554,1
738,6,2,10,0.699876363,1549,11,0.888450288,1
566,6,2,10,0.544695793,1353,11,0.943194554,1
736,4,2,10,0.652128495,1417,11,0.888450288,1
614,6,2,10,0.843119966,1468,11,0.888450288,1
614,6,2,10,0.962489636,1156,11,0.888450288,1
821,4,2,10,1.077880316,1632,11,0.888450288,1
745,6,2,10,0.958510647,1749,11,0.888450288,1
624,6,2,10,0.492968936,1372,11,0.888450288,1
713,6,2,10,1.085838294,1523,11,0.943194554,1
677,4,2,10,0.894846823,1534,11,0.888450288,1
692,6,2,10,0.421347135,1413,11,0.888450288,1
731,6,2,10,0.481031969,1319,11,0.943194554,1
639,4,2,10,0.616317595,1509,11,0.943194554,1
725,4,2,10,1.368346511,1747,11,0.943194554,1
869,4,2,10,1.181334029,1828,11,0.888450288,1
749,4,2,10,1.225102908,1537,11,0.943194554,1
592,6,2,10,0.485010958,1273,11,0.888450288,1
680,6,2,10,0.94657368,1489,11,0.943194554,1
783,4,2,10,0.743645242,1336,11,0.943194554,1
673,6,2,10,0.548674782,1544,11,0.888450288,1
505,4,2,10,0.047322171,1046,11,0.943194554,1
655,4,2,10,0.421347135,1156,11,0.888450288,1
595,6,2,10,0.44124208,1413,11,0.943194554,1
809,4,2,10,0.469095002,1220,11,0.888450288,1
773,4,2,10,0.807309065,1373,11,0.888450288,1
796,4,2,10,0.870972889,1531,11,0.888450288,1
698,6,2,10,0.831182999,1436,11,0.943194554,1
714,4,2,10,0.676002429,1211,11,0.943194554,1
707,4,2,10,0.98238458,1768,11,0.943194554,1
765,4,2,10,0.759561198,1314,11,0.888450288,1
642,6,2,10,0.457158035,1364,11,0.943194554,1
646,6,2,10,0.795372099,1557,11,0.888450288,1
755,6,2,10,0.564590738,1534,11,0.943194554,1
803,4,2,10,1.030132448,1582,11,0.888450288,1
702,4,2,10,1.169397062,1501,11,0.943194554,1
727,4,2,10,1.121649195,1659,11,0.888450288,1
584,4,2,10,0.55663276,1316,11,0.888450288,1
679,6,2,10,0.954531658,1430,11,0.888450288,1
775,4,2,10,0.930657724,1578,11,0.943194554,1
814,4,2,10,0.544695793,1552,11,0.943194554,1
698,4,2,10,0.874951878,1570,11,0.888450288,1
741,6,2,10,0.492968936,1287,11,0.888450288,1
944,6,2,10,1.563316971,1965,11,0.888450288,1
816,4,2,10,0.910762779,1519,11,0.888450288,1
672,6,2,10,0.492968936,1470,11,0.888450288,1
663,6,2,10,0.668044451,1404,11,0.888450288,1
612,6,2,10,0.668044451,1322,11,0.943194554,1
725,6,2,10,0.592443661,1437,11,0.888450288,1
676,6,2,10,0.779456143,1358,11,0.943194554,1
738,4,2,10,1.065943349,1535,11,0.888450288,1
708,6,2,10,0.648149506,1560,11,0.943194554,1
748,4,2,10,0.644170517,1390,11,0.888450288,1
748,6,2,10,0.564590738,1408,11,0.943194554,1
825,6,2,10,0.978405591,1630,11,0.888450288,1
664,4,2,10,0.616317595,1238,11,0.888450288,1
790,6,2,10,1.046048404,1795,11,0.888450288,1
570,6,2,10,0.512863881,1309,11,0.943194554,1
561,4,2,10,0.329830388,1137,11,0.943194554,1
724,4,2,10,0.990342558,1502,11,0.888450288,1
647,6,2,10,1.201228974,1758,11,0.943194554,1
722,6,2,10,0.453179046,1379,11,0.943194554,1
634,4,2,10,0.520821859,1312,11,0.888450288,1
638,6,2,10,1.077880316,1569,11,0.888450288,1
593,6,2,10,0.902804801,1415,11,0.943194554,1
648,6,2,10,0.385536234,1306,11,0.943194554,1
726,6,2,10,0.520821859,1269,11,0.888450288,1
798,6,2,10,0.974426603,1687,11,0.943194554,1
680,4,2,10,1.026153459,1603,11,0.888450288,1
725,6,2,10,0.819246032,1576,11,0.888450288,1
738,4,2,10,0.644170517,1269,11,0.943194554,1
730,4,2,10,1.050027393,1618,11,0.943194554,1
849,4,2,10,1.428031346,1951,11,0.943194554,1
589,6,2,10,0.63223355,1529,11,0.943194554,1
540,6,2,10,0.317893421,1109,11,0.888450288,1
709,6,2,10,0.481031969,1400,11,0.888450288,1
651,6,2,10,0.922699746,1770,11,0.943194554,1
755,6,2,10,0.767519176,1473,11,0.888450288,1
831,4,2,10,0.707834341,1687,11,0.888450288,1
697,6,2,10,0.8669939,1547,11,0.943194554,1
626,4,2,10,0.500926914,1349,11,0.888450288,1
668,4,2,10,0.40145219,1259,11,0.943194554,1
788,4,2,10,0.568569727,1553,11,0.943194554,1
679,6,2,10,0.994321547,1503,11,0.888450288,1
825,6,2,10,0.998300536,1649,11,0.943194554,1
721,6,2,10,0.874951878,1570,11,0.943194554,1
769,4,2,10,0.51684287,1429,11,0.943194554,1
697,4,2,10,0.660086473,1578,11,0.888450288,1
756,6,2,10,0.763540187,1531,11,0.888450288,1
726,4,2,10,0.409410168,1103,11,0.943194554,1
749,4,2,10,0.807309065,1608,11,0.888450288,1
808,6,2,10,0.994321547,1527,11,0.888450288,1
737,6,2,10,0.719771308,1377,11,0.943194554,1
673,4,2,10,0.51684287,1524,11,0.888450288,1
646,6,2,10,0.779456143,1410,11,0.888450288,1
724,4,2,10,1.233060886,1755,11,0.943194554,1
694,6,2,10,0.59642265,1328,11,0.943194554,1
760,4,2,10,0.994321547,1559,11,0.888450288,1
581,6,2,10,0.584485683,1231,11,0.888450288,1
672,4,2,10,0.707834341,1421,11,0.943194554,1
707,4,2,10,0.755582209,1395,11,0.943194554,1
711,4,2,10,0.636212539,1561,11,0.888450288,1
798,4,2,10,0.795372099,1694,11,0.943194554,1
598,6,2,10,0.270145554,1250,11,0.888450288,1
752,4,2,10,0.473073991,1290,11,0.943194554,1
809,4,2,10,1.324577633,1669,11,0.888450288,1
560,6,2,10,0.457158035,1443,11,0.943194554,1
839,4,2,10,0.779456143,1612,11,0.888450288,1
584,4,2,10,0.083133072,1298,11,0.943194554,1
870,4,2,10,0.795372099,1418,11,0.888450288,1
614,6,2,10,0.365641289,1489,11,0.888450288,1
693,4,2,10,1.02217447,1743,11,0.943194554,1
716,6,2,10,0.707834341,1458,11,0.943194554,1
861,6,2,10,0.775477154,1655,11,0.888450288,1
686,6,2,10,0.234334653,1241,11,0.943194554,1
774,4,2,10,0.500926914,1312,11,0.888450288,1
741,6,2,10,0.859035922,1591,11,0.943194554,1
758,6,2,10,1.042069415,1624,11,0.943194554,1
793,6,2,10,1.181334029,1661,11,0.888450288,1
599,4,2,10,0.779456143,1489,11,0.888450288,1
688,4,2,10,0.377578256,1138,11,0.888450288,1
752,4,2,10,0.819246032,1442,11,0.943194554,1
668,6,2,10,1.10175425,1843,11,0.888450288,1
657,6,2,10,0.214439708,1078,11,0.888450288,1
815,6,2,10,0.488989947,1432,11,0.888450288,1
777,6,2,10,0.874951878,1447,11,0.888450288,1
604,6,2,10,0.381557245,1219,11,0.888450288,1
643,4,2,10,0.540716804,1317,11,0.888450288,1
732,4,2,10,1.157460095,1496,11,0.943194554,1
725,4,2,10,0.425326124,1399,11,0.943194554,1
569,4,2,10,0.305956454,1461,11,0.943194554,1
781,4,2,10,0.540716804,1376,11,0.888450288,1
843,6,2,10,0.990342558,1546,11,0.888450288,1
632,6,2,10,0.90678379,1271,11,0.888450288,1
741,6,2,10,0.580506694,1392,11,0.943194554,1
676,6,2,10,0.254229598,1472,11,0.888450288,1
747,4,2,10,0.488989947,1446,11,0.943194554,1
759,6,2,10,0.998300536,1473,11,0.888450288,1
733,4,2,10,0.656107484,1442,11,0.943194554,1
766,6,2,10,0.381557245,1387,11,0.888450288,1
839,4,2,10,1.006258514,1685,11,0.888450288,1
679,4,2,10,0.863014911,1524,11,0.888450288,1
816,4,2,10,0.910762779,1508,11,0.888450288,1
724,6,2,10,0.759561198,1634,11,0.888450288,1
769,4,2,10,0.998300536,1455,11,0.888450288,1
561,6,2,10,0.739666253,1564,11,0.943194554,1
523,6,2,10,0.278103531,1477,11,0.943194554,1
775,4,2,10,0.803330076,1491,11,0.943194554,1
817,6,2,10,0.902804801,1646,11,0.943194554,1
618,6,2,10,0.755582209,1352,11,0.943194554,1
727,4,2,10,0.894846823,1616,11,0.943194554,1
579,6,2,10,0.703855352,1319,11,0.943194554,1
734,6,2,10,0.297998476,1397,11,0.943194554,1
776,4,2,10,1.129607173,1711,11,0.943194554,1
663,4,2,10,0.640191528,1452,11,0.943194554,1
799,4,2,10,1.344472577,1767,11,0.943194554,1
684,6,2,10,0.44124208,1382,11,0.888450288,1
865,4,2,10,0.974426603,1826,11,0.888450288,1
709,4,2,10,0.715792319,1298,11,0.943194554,1
783,6,2,10,0.699876363,1508,11,0.888450288,1
692,6,2,10,0.763540187,1490,11,0.943194554,1
778,6,2,10,0.385536234,1167,11,0.943194554,1
800,6,2,10,0.668044451,1392,11,0.943194554,1
786,4,2,10,0.51684287,1261,11,0.943194554,1
658,4,2,10,0.218418697,1014,11,0.888450288,1
804,6,2,10,0.994321547,1588,11,0.943194554,1
619,6,2,10,0.381557245,1363,11,0.943194554,1
842,4,2,10,1.244997853,1657,11,0.943194554,1
613,4,2,10,0.417368146,1294,11,0.888450288,1
635,6,2,10,0.520821859,1377,11,0.888450288,1
714,4,2,10,0.640191528,1318,11,0.943194554,1
697,4,2,10,0.496947925,1351,11,0.943194554,1
818,6,2,10,0.683960407,1543,11,0.943194554,1
760,6,2,10,1.026153459,1548,11,0.943194554,1
686,4,2,10,0.437263091,1344,11,0.888450288,1
885,4,2,10,1.129607173,1580,11,0.943194554,1
774,6,2,10,1.042069415,1552,11,0.943194554,1
729,6,2,10,0.71181333,1599,11,0.888450288,1
710,6,2,10,0.564590738,1396,11,0.943194554,1
782,6,2,10,0.990342558,1574,11,0.943194554,1
536,4,2,10,0.409410168,1315,11,0.943194554,1
658,4,2,10,0.71181333,1201,11,0.888450288,1
643,6,2,10,0.536737815,1330,11,0.888450288,1
674,6,2,10,0.763540187,1233,11,0.943194554,1
756,4,2,10,0.453179046,1311,11,0.943194554,1
720,4,2,10,0.98238458,1678,11,0.888450288,1
583,6,2,10,0.620296584,1130,11,0.943194554,1
697,4,2,10,0.687939396,1341,11,0.943194554,1
599,4,2,10,0.51684287,939,11,0.943194554,1
791,4,2,10,0.592443661,1469,11,0.888450288,1
708,6,2,10,0.727729286,1546,11,0.888450288,1
719,6,2,10,0.855056933,1294,11,0.943194554,1
691,4,2,10,0.843119966,1582,11,0.888450288,1
587,4,2,10,0.214439708,1022,11,0.888450288,1
732,4,2,10,1.077880316,1745,11,0.943194554,1
473,6,2,10,0.473073991,1138,11,0.943194554,1
654,6,2,10,0.679981418,1417,11,0.943194554,1
730,6,2,10,0.469095002,1292,11,0.888450288,1
720,6,2,10,0.656107484,1343,11,0.943194554,1
642,4,2,10,0.811288054,1447,11,0.943194554,1
799,4,2,10,1.161439084,1566,11,0.943194554,1
736,6,2,10,0.644170517,1204,11,0.888450288,1
723,6,2,10,0.958510647,1426,11,0.888450288,1
812,6,2,10,0.584485683,1554,11,0.943194554,1
680,4,2,10,0.775477154,1441,11,0.888450288,1
789,4,2,10,1.057985371,1579,11,0.943194554,1
661,6,2,10,0.783435132,1361,11,0.888450288,1
549,6,2,10,0.707834341,1484,11,0.943194554,1
844,6,2,10,0.990342558,1428,11,0.943194554,1
717,6,2,10,0.238313642,1043,11,0.943194554,1
763,4,2,10,0.930657724,1450,11,0.943194554,1
760,4,2,10,1.02217447,1548,11,0.943194554,1
598,4,2,10,0.664065462,1569,11,0.888450288,1
654,6,2,10,0.138838917,1307,11,0.888450288,1
621,4,2,10,0.488989947,1492,11,0.888450288,1
692,4,2,10,0.512863881,1364,11,0.888450288,1
601,4,2,10,0.628254561,1417,11,0.888450288,1
623,6,2,10,0.397473201,1434,11,0.943194554,1
570,4,2,10,0.397473201,1249,11,0.943194554,1
835,4,2,10,1.018195481,1758,11,0.888450288,1
735,4,2,10,1.097775261,1537,11,0.888450288,1
706,6,2,10,0.926678735,1658,11,0.888450288,1
595,4,2,10,0.878930867,1506,11,0.943194554,1
719,6,2,10,0.588464672,1417,11,0.943194554,1
624,6,2,10,0.811288054,1352,11,0.888450288,1
819,6,2,10,0.775477154,1528,11,0.888450288,1
629,4,2,10,0.707834341,1573,11,0.888450288,1
578,4,2,10,0.210460719,1275,11,0.943194554,1
593,6,2,10,0.687939396,1136,11,0.943194554,1
791,6,2,10,0.783435132,1353,11,0.943194554,1
754,4,2,10,0.958510647,1491,11,0.943194554,1
783,6,2,10,1.443947302,1826,11,0.888450288,1
753,6,2,10,0.71181333,1397,11,0.888450288,1
569,6,2,10,0.413389157,1298,11,0.943194554,1
657,6,2,10,0.839140977,1486,11,0.888450288,1
721,4,2,10,0.365641289,1387,11,0.943194554,1
646,6,2,10,0.393494212,1113,11,0.888450288,1
818,6,2,10,0.8669939,1559,11,0.943194554,1
751,6,2,10,0.986363569,1450,11,0.943194554,1
730,6,2,10,0.79139311,1573,11,0.888450288,1
869,6,2,10,1.300703699,1678,11,0.943194554,1
576,4,2,10,0.465116013,1427,11,0.888450288,1
740,4,2,10,1.006258514,1602,11,0.888450288,1
707,6,2,10,0.767519176,1546,11,0.943194554,1
784,4,2,10,0.874951878,1558,11,0.943194554,1
688,4,2,10,0.990342558,1496,11,0.943194554,1
698,4,2,10,0.488989947,1159,11,0.888450288,1
781,6,2,10,0.723750297,1329,11,0.888450288,1
801,6,2,10,0.787414121,1410,11,0.888450288,1
788,6,2,10,0.723750297,1342,11,0.943194554,1
662,4,2,10,0.397473201,1271,11,0.943194554,1
796,4,2,10,0.731708275,1527,11,0.888450288,1
615,4,2,10,0.811288054,1317,11,0.888450288,1
748,6,2,10,0.536737815,1474,11,0.888450288,1
740,4,2,10,0.333809377,1172,11,0.943194554,1
587,4,2,10,0.51684287,1263,11,0.943194554,1
706,6,2,10,0.747624231,1406,11,0.888450288,1
652,4,2,10,0.735687264,1541,11,0.888450288,1
665,4,2,10,0.63223355,1553,11,0.888450288,1
798,6,2,10,1.276829765,1825,11,0.888450288,1
570,6,2,10,0.560611749,1294,11,0.943194554,1
953,4,2,10,1.340493588,1755,11,0.943194554,1
703,4,2,10,1.006258514,1623,11,0.888450288,1
748,4,2,10,1.014216492,1561,11,0.943194554,1
515,6,2,10,0.341767355,1321,11,0.888450288,1
666,4,2,10,0.695897374,1193,11,0.888450288,1
821,4,2,10,0.628254561,1388,11,0.888450288,1
763,4,2,10,0.727729286,1353,11,0.888450288,1
731,4,2,10,0.783435132,1417,11,0.943194554,1
596,4,2,10,0.278103531,1125,11,0.888450288,1
801,6,2,10,1.069922338,1738,11,0.888450288,1
694,4,2,10,0.664065462,1675,11,0.888450288,1
702,4,2,10,0.55663276,1339,11,0.943194554,1
717,4,2,10,1.125628184,1746,11,0.888450288,1
878,6,2,10,0.930657724,1596,11,0.888450288,1
767,6,2,10,0.970447614,1661,11,0.943194554,1
745,4,2,10,0.532758826,1564,11,0.943194554,1
791,6,2,10,1.463842247,1878,11,0.888450288,1
619,4,2,10,0.461137024,1296,11,0.888450288,1
712,6,2,10,0.12690195,1063,11,0.888450288,1
1137,2,2,10,2.076606549,1574,11,0.943194554,1
1151,2,2,10,1.905510023,1363,11,0.943194554,1
1002,6,2,10,1.849804178,1497,11,0.943194554,1
1149,6,2,10,1.774203387,1209,11,0.888450288,1
1270,2,2,10,2.044774637,1572,11,0.943194554,1
1154,6,2,10,2.004984748,1374,11,0.943194554,1
1099,6,2,10,1.869699122,1368,11,0.888450288,1
1139,6,2,10,1.865720133,1400,11,0.888450288,1
1181,2,2,10,2.044774637,1613,11,0.943194554,1
1289,2,2,10,2.088543516,1633,11,0.888450288,1
1197,6,2,10,1.873678111,1409,11,0.943194554,1
1203,6,2,10,2.056711604,1467,11,0.888450288,1
1223,6,2,10,1.989068792,1589,11,0.888450288,1
1347,6,2,10,1.969173847,1636,11,0.943194554,1
1192,6,2,10,1.993047781,1634,11,0.888450288,1
1276,2,2,10,2.07262756,1735,11,0.888450288,1
1072,2,2,10,1.91744699,1380,11,0.888450288,1
1126,6,2,10,1.698602596,1070,11,0.888450288,1
1224,6,2,10,1.925404968,1479,11,0.943194554,1
1286,2,2,10,2.012942726,1403,11,0.888450288,1
1133,2,2,10,1.881636089,1549,11,0.943194554,1
1229,6,2,10,1.989068792,1474,11,0.943194554,1
1115,2,2,10,1.901531034,1197,11,0.888450288,1
1182,6,2,10,2.004984748,1300,11,0.888450288,1
1104,6,2,10,1.897552045,1334,11,0.943194554,1
1286,2,2,10,1.977131825,1422,11,0.943194554,1
1187,6,2,10,1.909489012,1345,11,0.888450288,1
1078,6,2,10,1.686665629,1318,11,0.943194554,1
1257,2,2,10,1.973152836,1302,11,0.888450288,1
1188,6,2,10,2.040795648,1605,11,0.888450288,1
1276,6,2,10,1.909489012,1583,11,0.943194554,1
1203,2,2,10,1.941320924,1650,11,0.943194554,1
1217,6,2,10,1.937341935,1363,11,0.943194554,1
1214,2,2,10,2.048753626,1620,11,0.888450288,1
1187,2,2,10,1.965194858,1451,11,0.943194554,1
1234,2,2,10,1.710539563,1397,11,0.888450288,1
1310,2,2,10,1.845825189,1509,11,0.888450288,1
1205,6,2,10,1.949278902,1156,11,0.888450288,1
1171,2,2,10,1.937341935,1448,11,0.943194554,1
1312,2,2,10,2.088543516,1523,11,0.888450288,1
1198,6,2,10,1.977131825,1506,11,0.943194554,1
1199,2,2,10,1.865720133,1378,11,0.943194554,1
1094,6,2,10,2.048753626,1257,11,0.943194554,1
1345,2,2,10,2.096501494,1782,11,0.943194554,1
1230,6,2,10,1.658812707,1038,11,0.888450288,1
1260,6,2,10,1.873678111,1455,11,0.888450288,1
1168,6,2,10,1.798077321,1387,11,0.888450288,1
1064,2,2,10,1.634938773,1158,11,0.888450288,1
1157,6,2,10,2.001005759,1267,11,0.943194554,1
1031,6,2,10,1.937341935,1228,11,0.943194554,1
1169,6,2,10,1.953257891,1312,11,0.888450288,1
1211,6,2,10,1.817972266,1445,11,0.888450288,1
1178,2,2,10,2.03681666,1220,11,0.888450288,1
1187,2,2,10,1.790119343,1204,11,0.943194554,1
1227,2,2,10,2.148228351,1701,11,0.888450288,1
1116,2,2,10,1.901531034,1408,11,0.888450288,1
1268,6,2,10,1.881636089,1590,11,0.943194554,1
1251,2,2,10,1.889594067,1483,11,0.943194554,1
1148,2,2,10,1.869699122,1555,11,0.888450288,1
1096,2,2,10,1.869699122,1281,11,0.943194554,1
1061,6,2,10,1.583211916,1425,11,0.943194554,1
1043,6,2,10,1.837867211,1181,11,0.943194554,1
1074,6,2,10,1.60708585,1136,11,0.943194554,1
1193,2,2,10,1.897552045,1441,11,0.943194554,1
1183,6,2,10,1.937341935,1672,11,0.943194554,1
1251,6,2,10,2.108438461,1682,11,0.943194554,1
1277,6,2,10,2.136291384,1547,11,0.888450288,1
1301,2,2,10,1.889594067,1654,11,0.943194554,1
1272,2,2,10,1.937341935,1505,11,0.943194554,1
1196,2,2,10,2.028858682,1604,11,0.943194554,1
1165,6,2,10,1.72247653,1431,11,0.888450288,1
985,2,2,10,1.833888222,1336,11,0.943194554,1
1172,2,2,10,1.989068792,1491,11,0.943194554,1
1227,2,2,10,1.873678111,1575,11,0.888450288,1
1306,6,2,10,2.040795648,1514,11,0.943194554,1
1084,6,2,10,1.806035299,1313,11,0.888450288,1
1195,2,2,10,1.981110814,1499,11,0.943194554,1
1410,6,2,10,2.052732615,1581,11,0.888450288,1
1196,6,2,10,1.925404968,1204,11,0.943194554,1
1177,6,2,10,1.845825189,1435,11,0.943194554,1
1269,6,2,10,1.766245409,1359,11,0.943194554,1
1180,6,2,10,1.8418462,1453,11,0.943194554,1
1209,6,2,10,2.001005759,1331,11,0.943194554,1
1185,2,2,10,1.969173847,1370,11,0.943194554,1
1142,6,2,10,2.052732615,1587,11,0.888450288,1
1316,6,2,10,1.91744699,1682,11,0.943194554,1
1069,6,2,10,1.742371475,1075,11,0.943194554,1
1178,2,2,10,2.164144307,1449,11,0.943194554,1
1279,2,2,10,2.012942726,1573,11,0.888450288,1
1281,2,2,10,1.99702677,1704,11,0.943194554,1
1146,2,2,10,1.881636089,1462,11,0.888450288,1
1320,6,2,10,2.076606549,1586,11,0.888450288,1
1180,2,2,10,1.782161365,1303,11,0.888450288,1
1197,6,2,10,1.790119343,1215,11,0.888450288,1
1161,6,2,10,1.893573056,1333,11,0.888450288,1
1216,6,2,10,1.925404968,1395,11,0.888450288,1
1225,6,2,10,2.028858682,1365,11,0.888450288,1
1305,2,2,10,1.837867211,1397,11,0.943194554,1
1135,6,2,10,1.861741144,1225,11,0.943194554,1
1223,2,2,10,1.734413497,1246,11,0.888450288,1
1357,2,2,10,2.004984748,1787,11,0.943194554,1
1090,6,2,10,1.758287431,1237,11,0.888450288,1
1163,2,2,10,1.977131825,1554,11,0.888450288,1
1316,6,2,10,2.068648571,1502,11,0.943194554,1
1141,6,2,10,2.001005759,1583,11,0.888450288,1
1193,2,2,10,1.774203387,1341,11,0.943194554,1
1260,2,2,10,1.99702677,1537,11,0.888450288,1
1162,2,2,10,1.897552045,1624,11,0.943194554,1
1363,6,2,10,2.11241745,1718,11,0.888450288,1
1204,6,2,10,2.008963737,1649,11,0.943194554,1
1294,2,2,10,1.945299913,1295,11,0.888450288,1
1190,2,2,10,1.770224398,1313,11,0.888450288,1
1199,2,2,10,2.080585538,1489,11,0.888450288,1
1250,2,2,10,2.243724086,1679,11,0.943194554,1
1145,6,2,10,1.937341935,1598,11,0.943194554,1
1325,2,2,10,2.004984748,1625,11,0.888450288,1
1347,6,2,10,2.124354417,1881,11,0.943194554,1
1290,6,2,10,1.945299913,1520,11,0.943194554,1
1067,2,2,10,2.016921715,1592,11,0.888450288,1
1272,6,2,10,2.012942726,1541,11,0.943194554,1
1076,2,2,10,1.893573056,1288,11,0.888450288,1
1333,6,2,10,2.004984748,1644,11,0.888450288,1
1150,6,2,10,1.718497541,1169,11,0.943194554,1
1179,2,2,10,1.973152836,1440,11,0.888450288,1
1157,2,2,10,1.678707652,1192,11,0.888450288,1
1194,2,2,10,1.925404968,1398,11,0.943194554,1
1280,2,2,10,2.012942726,1291,11,0.943194554,1
1090,2,2,10,1.72247653,1005,11,0.888450288,1
1128,2,2,10,1.730434508,1243,11,0.888450288,1
1244,2,2,10,2.060690593,1522,11,0.943194554,1
1122,2,2,10,1.8418462,1200,11,0.943194554,1
1327,2,2,10,2.136291384,1731,11,0.888450288,1
1365,6,2,10,2.164144307,1670,11,0.888450288,1
1259,6,2,10,1.985089803,1401,11,0.943194554,1
1143,6,2,10,1.889594067,1446,11,0.943194554,1
1159,2,2,10,2.020900704,1661,11,0.888450288,1
1188,2,2,10,2.040795648,1616,11,0.888450288,1
1242,2,2,10,1.881636089,1175,11,0.943194554,1
1216,2,2,10,1.949278902,1503,11,0.888450288,1
1027,2,2,10,1.813993277,1322,11,0.888450288,1
1216,6,2,10,1.993047781,1565,11,0.943194554,1
1176,2,2,10,1.817972266,1505,11,0.888450288,1
1145,6,2,10,1.885615078,1428,11,0.943194554,1
1255,6,2,10,1.857762156,1350,11,0.943194554,1
1247,6,2,10,2.008963737,1389,11,0.888450288,1
